foreas_id;year_id;type;name;regular_budget;public_inv_budget;total
1001;2022;Κεντρική Διοίκηση;Προεδρία της Δημοκρατίας;4462000;0;4462000
1003;2022;Κεντρική Διοίκηση;Βουλή των Ελλήνων;144200000;2000000;146200000
1004;2022;Κεντρική Διοίκηση;Προεδρία της Κυβέρνησης;33144000;11000000;44144000
1007;2022;Υπουργείο;Υπουργείο Εσωτερικών;2928568000;310000000;3238568000
1009;2022;Υπουργείο;Υπουργείο Εξωτερικών;254622000;14000000;268622000
1011;2022;Υπουργείο;Υπουργείο Εθνικής Άμυνας;6431600000;34000000;6465600000
1015;2022;Υπουργείο;Υπουργείο Υγείας;4341371000;315900000;4657271000
1017;2022;Υπουργείο;Υπουργείο Δικαιοσύνης;516768000;61600000;578368000
1019;2022;Υπουργείο;Υπουργείο Παιδείας και Θρησκευμάτων;4891100000;950000000;5841100000
1021;2022;Υπουργείο;Υπουργείο Πολιτισμού και Αθλητισμού;337553000;80000000;417553000
1023;2022;Υπουργείο;Υπουργείο Οικονομικών;750441665000;1135161000;751576826000
1029;2022;Υπουργείο;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;187436000;854000000;1041436000
1031;2022;Υπουργείο;Υπουργείο Περιβάλλοντος και Ενέργειας;195581000;1220000000;1415581000
1033;2022;Υπουργείο;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;20892496000;720000000;21612496000
1035;2022;Υπουργείο;Υπουργείο Ανάπτυξης και Επενδύσεων;146720000;2780000000;2926720000
1039;2022;Υπουργείο;Υπουργείο Υποδομών και Μεταφορών;756210000;1290000000;2046210000
1041;2022;Υπουργείο;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;276427000;175000000;451427000
1045;2022;Υπουργείο;Υπουργείο Τουρισμού;39485000;45000000;84485000
1053;2022;Υπουργείο;Υπουργείο Ψηφιακής Διακυβέρνησης;240578000;714000000;954578000
1055;2022;Υπουργείο;Υπουργείο Μετανάστευσης και Ασύλου;92713000;150929000;243642000
1057;2022;Υπουργείο;Υπουργείο Προστασίας του Πολίτη;1900413000;75000000;1975413000
1059;2022;Υπουργείο;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;534021000;61000000;595021000
1901;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αττικής;17492000;0;17492000
1902;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;26386000;0;26386000
1903;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;18447000;0;18447000
1904;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;31786000;0;31786000
1905;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αιγαίου;10462000;0;10462000
1906;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Κρήτης;10844000;0;10844000
1907;2022;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;39555000;0;39555000
