year_id;type;name;amount
2022;Έξοδο;Παροχές σε εργαζομένους;13610168000
2022;Έξοδο;Κοινωνικές παροχές;220643000
2022;Έξοδο;Μεταβιβάσεις;30583382000
2022;Έξοδο;Αγορές αγαθών και υπηρεσιών;1355222000
2022;Έξοδο;Επιδοτήσεις;80060000
2022;Έξοδο;Τόκοι;4600450000
2022;Έξοδο;Λοιπές δαπάνες;101387000
2022;Έξοδο;Πιστώσεις υπό κατανομή;13921510000
2022;Έξοδο;Πάγια περιουσιακά στοιχεία;3455707000
2022;Έξοδο;Τιμαλφή;56000
2022;Έξοδο;Δάνεια;3509500000
2022;Έξοδο;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1062480000
2022;Έξοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);29153000000
2022;Έξοδο;Δάνεια;703687130000
2022;Έξοδο;Χρηματοοικονομικά παράγωγα;1400000000
