year_id;type;name;amount
2021;Έξοδο;Παροχές σε εργαζομένους;13544417000
2021;Έξοδο;Κοινωνικές παροχές;198872000
2021;Έξοδο;Μεταβιβάσεις;31394330000
2021;Έξοδο;Αγορές αγαθών και υπηρεσιών;1250824250
2021;Έξοδο;Επιδοτήσεις;80060000
2021;Έξοδο;Τόκοι;4510100000
2021;Έξοδο;Λοιπές δαπάνες;91379000
2021;Έξοδο;Πιστώσεις υπό κατανομή;14094394750
2021;Έξοδο;Πάγια περιουσιακά στοιχεία;2646191000
2021;Έξοδο;Τιμαλφή;52000
2021;Έξοδο;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1562480000
2021;Έξοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);26504000000
2021;Έξοδο;Δάνεια;704871130000
2021;Έξοδο;Χρηματοοικονομικά παράγωγα;1450000000
