year_id;type;name;amount
2022;Έσοδο;Φόροι;45654498000
2022;Έσοδο;Κοινωνικές εισφορές;55000000
2022;Έσοδο;Μεταβιβάσεις;7376000000
2022;Έσοδο;Πωλήσεις αγαθών και υπηρεσιών;2092000000
2022;Έσοδο;Λοιπά τρέχοντα έσοδα;1911000000
2022;Έσοδο;Πάγια περιουσιακά στοιχεία;13000000
2022;Έσοδο;Χρεωστικοί τίτλοι;31000000
2022;Έσοδο;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;687000000
2022;Έσοδο;Υποχρεώσεις από νόμισμα και καταθέσεις;6000000
2022;Έσοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);36954000000
2022;Έσοδο;Δάνεια;701846000000
