year_id;type;name;amount
2021;Έσοδο;Φόροι;43587000000
2021;Έσοδο;Κοινωνικές εισφορές;53000000
2021;Έσοδο;Μεταβιβάσεις;6951000000
2021;Έσοδο;Πωλήσεις αγαθών και υπηρεσιών;595000000
2021;Έσοδο;Λοιπά τρέχοντα έσοδα;1454000000
2021;Έσοδο;Πάγια περιουσιακά στοιχεία;330000000
2021;Έσοδο;Χρεωστικοί τίτλοι;30520000
2021;Έσοδο;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1453000000
2021;Έσοδο;Υποχρεώσεις από νόμισμα και καταθέσεις;8620000
2021;Έσοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);37000000000
2021;Έσοδο;Δάνεια;701700340000
