foreas_id;year_id;type;name;regular_budget;public_inv_budget;total
1001;2021;Κεντρική Διοίκηση;Προεδρία της Δημοκρατίας;3766000;0;3766000
1003;2021;Κεντρική Διοίκηση;Βουλή των Ελλήνων;142500000;1000000;143500000
1004;2021;Κεντρική Διοίκηση;Προεδρία της Κυβέρνησης;31251000;3000000;34251000
1007;2021;Υπουργείο;Υπουργείο Εσωτερικών;2814769000;172000000;2986769000
1009;2021;Υπουργείο;Υπουργείο Εξωτερικών;274237000;14000000;288237000
1011;2021;Υπουργείο;Υπουργείο Εθνικής Άμυνας;5481900000;14000000;5495900000
1015;2021;Υπουργείο;Υπουργείο Υγείας;4196596000;60000000;4256596000
1017;2021;Υπουργείο;Υπουργείο Δικαιοσύνης;510261000;23000000;533261000
1019;2021;Υπουργείο;Υπουργείο Παιδείας και Θρησκευμάτων;4895100000;710000000;5605100000
1021;2021;Υπουργείο;Υπουργείο Πολιτισμού και Αθλητισμού;324100000;35000000;359100000
1023;2021;Υπουργείο;Υπουργείο Οικονομικών;747452497000;23000000;747475497000
1029;2021;Υπουργείο;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;296963000;902000000;1198963000
1031;2021;Υπουργείο;Υπουργείο Περιβάλλοντος και Ενέργειας;92375000;670000000;762375000
1033;2021;Υπουργείο;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;22269305000;420000000;22689305000
1035;2021;Υπουργείο;Υπουργείο Ανάπτυξης και Επενδύσεων;186196000;5115000000;5301196000
1039;2021;Υπουργείο;Υπουργείο Υποδομών και Μεταφορών;717688000;867000000;1584688000
1041;2021;Υπουργείο;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;268600000;140000000;408600000
1045;2021;Υπουργείο;Υπουργείο Τουρισμού;36240000;21000000;57240000
1053;2021;Υπουργείο;Υπουργείο Προστασίας του Πολίτη;2414481000;74000000;2488481000
1055;2021;Υπουργείο;Υπουργείο Ψηφιακής Διακυβέρνησης;146109000;90000000;236109000
1057;2021;Υπουργείο;Υπουργείο Μετανάστευσης και Ασύλου;96884000;31000000;127884000
1901;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αττικής;19247000;0;19247000
1902;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Θεσσαλίας – Στερεάς Ελλάδας;27427000;0;27427000
1903;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Ηπείρου – Δυτικής Μακεδονίας;18659000;0;18659000
1904;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Πελοποννήσου – Δυτικής Ελλάδας & Ιονίου;33001000;0;33001000
1905;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αιγαίου;10462000;0;10462000
1906;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Κρήτης;11160000;0;11160000
1907;2021;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Μακεδονίας – Θράκης;41456000;0;41456000
