year_id;type;name;amount
2025;Έσοδο;Φόροι;62055000000
2025;Έσοδο;Κοινωνικές εισφορές;60000000
2025;Έσοδο;Μεταβιβάσεις;8131000000
2025;Έσοδο;Πωλήσεις αγαθών και υπηρεσιών;2405000000
2025;Έσοδο;Λοιπά τρέχοντα έσοδα;2775000000
2025;Έσοδο;Πάγια περιουσιακά στοιχεία;37000000
2025;Έσοδο;Χρεωστικοί τίτλοι;11000000
2025;Έσοδο;Δάνεια;20000000
2025;Έσοδο;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;467000000
2025;Έσοδο;Υποχρεώσεις από νόμισμα και καταθέσεις;66000000
2025;Έσοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);25973000000
2025;Έσοδο;Δάνεια;1202030000000
2025;Έσοδο;Χρηματοοικονομικά παράγωγα;800000000
