year_id;type;name;amount
2023;Έσοδο;Φόροι;51579000000
2023;Έσοδο;Κοινωνικές εισφορές;55000000
2023;Έσοδο;Μεταβιβάσεις;7953000000
2023;Έσοδο;Πωλήσεις αγαθών και υπηρεσιών;2405000000
2023;Έσοδο;Λοιπά τρέχοντα έσοδα;1869000000
2023;Έσοδο;Πάγια περιουσιακά στοιχεία;24000000
2023;Έσοδο;Χρεωστικοί τίτλοι;23000000
2023;Έσοδο;Συμμετοχικοί τίτλοι & μερίδια επενδυτικών κεφαλαίων;387000000
2023;Έσοδο;Υποχρεώσεις από νόμισμα και καταθέσεις;44000000
2023;Έσοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);31554000000
2023;Έσοδο;Δάνεια;701846000000
2023;Έσοδο;Χρηματοοικονομικά παράγωγα;300000000
